isolate,treatment,replicate,group,variable,value
62A4,inh,2,3,SC,-0.0
109A1,inh,2,3,SC,0.0
45C2,inh,1,4,32,0.005
66C3,inh,1,4,32,0.017
69C1,inh,1,4,32,0.002
97C1,inh,1,4,32,0.026
99A1,inh,1,4,32,0.002
115A1,inh,1,4,32,0.003
119A3,inh,1,4,32,0.023
45C2,inh,1,4,16,-0.001
66C3,inh,1,4,16,-0.001
69C1,inh,1,4,16,-0.001
97C1,inh,1,4,16,-0.0
99A1,inh,1,4,16,-0.0
115A1,inh,1,4,16,-0.0
119A3,inh,1,4,16,0.001
45C2,inh,1,4,8,0.002
66C3,inh,1,4,8,0.0
69C1,inh,1,4,8,-0.001
97C1,inh,1,4,8,0.0
99A1,inh,1,4,8,-0.0
115A1,inh,1,4,8,-0.0
119A3,inh,1,4,8,-0.001
45C2,inh,1,4,4,0.003
66C3,inh,1,4,4,0.001
69C1,inh,1,4,4,0.001
97C1,inh,1,4,4,0.001
99A1,inh,1,4,4,0.0
115A1,inh,1,4,4,-0.001
119A3,inh,1,4,4,0.002
45C2,inh,1,4,2,0.002
66C3,inh,1,4,2,0.003
69C1,inh,1,4,2,-0.0
97C1,inh,1,4,2,0.002
99A1,inh,1,4,2,0.001
115A1,inh,1,4,2,0.0
119A3,inh,1,4,2,0.005
45C2,inh,1,4,1,0.004
66C3,inh,1,4,1,0.006
69C1,inh,1,4,1,0.0
97C1,inh,1,4,1,0.003
99A1,inh,1,4,1,0.001
115A1,inh,1,4,1,0.003
119A3,inh,1,4,1,0.006
45C2,inh,1,4,.5,0.002
66C3,inh,1,4,.5,0.005
69C1,inh,1,4,.5,0.002
97C1,inh,1,4,.5,-0.001
99A1,inh,1,4,.5,-0.001
115A1,inh,1,4,.5,0.002
119A3,inh,1,4,.5,0.011
45C2,inh,1,4,.25,-0.0
66C3,inh,1,4,.25,0.011
69C1,inh,1,4,.25,0.001
97C1,inh,1,4,.25,0.001
99A1,inh,1,4,.25,-0.0
115A1,inh,1,4,.25,0.003
119A3,inh,1,4,.25,0.004
45C2,inh,1,4,.125,-0.0
66C3,inh,1,4,.125,0.005
69C1,inh,1,4,.125,-0.0
97C1,inh,1,4,.125,-0.0
99A1,inh,1,4,.125,-0.001
115A1,inh,1,4,.125,0.001
119A3,inh,1,4,.125,0.005
45C2,inh,1,4,.0625,0.0
66C3,inh,1,4,.0625,0.009000000000000001
69C1,inh,1,4,.0625,-0.0
97C1,inh,1,4,.0625,-0.001
99A1,inh,1,4,.0625,-0.0
115A1,inh,1,4,.0625,0.002
119A3,inh,1,4,.0625,0.004
45C2,inh,1,4,GC,0.14800000000000002
66C3,inh,1,4,GC,0.006999999999999999
69C1,inh,1,4,GC,0.156
97C1,inh,1,4,GC,0.328
99A1,inh,1,4,GC,0.002
115A1,inh,1,4,GC,0.253
119A3,inh,1,4,GC,0.006
45C2,inh,1,4,SC,-0.001
66C3,inh,1,4,SC,-0.0
69C1,inh,1,4,SC,-0.0
97C1,inh,1,4,SC,0.0
99A1,inh,1,4,SC,-0.0
115A1,inh,1,4,SC,0.0
119A3,inh,1,4,SC,0.001
56A10,con,3,2,128,0.382
88B1,con,3,2,128,0.611
96A1,con,3,2,128,0.365
114A4,con,3,2,128,0.34600000000000003
56A10,con,3,2,64,0.415
88B1,con,3,2,64,0.733
96A1,con,3,2,64,0.316
114A4,con,3,2,64,0.421
56A10,con,3,2,32,0.416
88B1,con,3,2,32,0.8190000000000001
96A1,con,3,2,32,0.473
114A4,con,3,2,32,0.426
56A10,con,3,2,16,0.618
88B1,con,3,2,16,0.965
96A1,con,3,2,16,0.74
114A4,con,3,2,16,0.482
56A10,con,3,2,8,1.243
88B1,con,3,2,8,1.06
96A1,con,3,2,8,0.919
114A4,con,3,2,8,0.591
56A10,con,3,2,4,1.33
88B1,con,3,2,4,1.167
96A1,con,3,2,4,0.937
114A4,con,3,2,4,0.804
56A10,con,3,2,2,1.355
88B1,con,3,2,2,1.17
96A1,con,3,2,2,0.976
114A4,con,3,2,2,0.835
56A10,con,3,2,1,1.341
88B1,con,3,2,1,1.15
96A1,con,3,2,1,0.972
114A4,con,3,2,1,0.895
56A10,con,3,2,.5,1.337
88B1,con,3,2,.5,1.161
96A1,con,3,2,.5,1.021
114A4,con,3,2,.5,0.918
56A10,con,3,2,.25,1.347
88B1,con,3,2,.25,1.143
96A1,con,3,2,.25,1.057
114A4,con,3,2,.25,0.939
56A10,con,3,2,GC,1.337
88B1,con,3,2,GC,1.134
96A1,con,3,2,GC,1.06
114A4,con,3,2,GC,1.002
56A10,con,3,2,SC,-0.0
88B1,con,3,2,SC,0.001
96A1,con,3,2,SC,0.001
114A4,con,3,2,SC,-0.0
56A10,inh,2,2,128,0.086
88B1,inh,2,2,128,0.039
96A1,inh,2,2,128,0.075
114A4,inh,2,2,128,0.049
56A10,inh,2,2,64,0.004
88B1,inh,2,2,64,0.034
96A1,inh,2,2,64,0.009000000000000001
114A4,inh,2,2,64,0.029
56A10,inh,2,2,32,0.005
88B1,inh,2,2,32,0.021
96A1,inh,2,2,32,0.013
114A4,inh,2,2,32,0.005
56A10,inh,2,2,16,-0.001
88B1,inh,2,2,16,0.003
96A1,inh,2,2,16,0.01
114A4,inh,2,2,16,-0.0
56A10,inh,2,2,8,-0.0
88B1,inh,2,2,8,0.002
96A1,inh,2,2,8,0.3720000000000001
114A4,inh,2,2,8,0.018000000000000002
56A10,inh,2,2,4,-0.0
88B1,inh,2,2,4,0.002
96A1,inh,2,2,4,0.708
114A4,inh,2,2,4,0.171
56A10,inh,2,2,2,-0.0
88B1,inh,2,2,2,0.002
96A1,inh,2,2,2,0.847
114A4,inh,2,2,2,0.378
56A10,inh,2,2,1,0.008
88B1,inh,2,2,1,0.003
96A1,inh,2,2,1,0.893
114A4,inh,2,2,1,0.45
56A10,inh,2,2,.5,0.087
88B1,inh,2,2,.5,0.066
96A1,inh,2,2,.5,0.912
114A4,inh,2,2,.5,0.503
56A10,inh,2,2,.25,0.125
88B1,inh,2,2,.25,0.386
96A1,inh,2,2,.25,1.004
114A4,inh,2,2,.25,0.501
56A10,inh,2,2,GC,0.154
88B1,inh,2,2,GC,1.094
96A1,inh,2,2,GC,0.985
114A4,inh,2,2,GC,0.524
56A10,inh,2,2,SC,-0.0
88B1,inh,2,2,SC,0.001
96A1,inh,2,2,SC,-0.0
114A4,inh,2,2,SC,-0.0
8A1,con,3,3,32,0.001
10A6,con,3,3,32,0.002
39A1,con,3,3,32,0.001
57B2,con,3,3,32,-0.0
62A4,con,3,3,32,0.0
109A1,con,3,3,32,0.004
8A1,con,3,3,16,-0.001
10A6,con,3,3,16,0.0
39A1,con,3,3,16,-0.0
57B2,con,3,3,16,-0.0
62A4,con,3,3,16,0.0
109A1,con,3,3,16,0.008
8A1,con,3,3,8,-0.0
10A6,con,3,3,8,0.002
39A1,con,3,3,8,0.0
57B2,con,3,3,8,0.001
62A4,con,3,3,8,0.0
109A1,con,3,3,8,0.013
8A1,con,3,3,4,0.001
10A6,con,3,3,4,0.003
39A1,con,3,3,4,0.0
57B2,con,3,3,4,0.006
62A4,con,3,3,4,0.0
109A1,con,3,3,4,0.004
8A1,con,3,3,2,0.002
10A6,con,3,3,2,0.003
39A1,con,3,3,2,0.001
57B2,con,3,3,2,0.042
62A4,con,3,3,2,0.002
109A1,con,3,3,2,0.04
8A1,con,3,3,1,0.005
10A6,con,3,3,1,0.015
39A1,con,3,3,1,0.001
57B2,con,3,3,1,0.09
62A4,con,3,3,1,0.002
109A1,con,3,3,1,0.025
8A1,con,3,3,.5,0.017
10A6,con,3,3,.5,0.037000000000000005
39A1,con,3,3,.5,0.001
57B2,con,3,3,.5,0.1
62A4,con,3,3,.5,0.017
109A1,con,3,3,.5,0.057
8A1,con,3,3,.25,0.11
10A6,con,3,3,.25,0.061
39A1,con,3,3,.25,0.026
57B2,con,3,3,.25,0.247
62A4,con,3,3,.25,0.133
109A1,con,3,3,.25,0.113
8A1,con,3,3,.125,0.301
10A6,con,3,3,.125,0.086
39A1,con,3,3,.125,0.066
57B2,con,3,3,.125,0.39
62A4,con,3,3,.125,0.213
109A1,con,3,3,.125,0.213
8A1,con,3,3,.0625,0.735
10A6,con,3,3,.0625,0.325
39A1,con,3,3,.0625,0.183
57B2,con,3,3,.0625,0.4920000000000001
62A4,con,3,3,.0625,0.255
109A1,con,3,3,.0625,0.452
8A1,con,3,3,GC,0.926
10A6,con,3,3,GC,0.32299999999999995
39A1,con,3,3,GC,0.16
57B2,con,3,3,GC,0.465
62A4,con,3,3,GC,0.31
109A1,con,3,3,GC,0.509
8A1,con,3,3,SC,-0.0
10A6,con,3,3,SC,0.0
39A1,con,3,3,SC,0.0
57B2,con,3,3,SC,0.001
62A4,con,3,3,SC,-0.0
109A1,con,3,3,SC,-0.0
82B1,con,1,,128,0.354
82B1,inh,1,,128,0.026000000000000002
82B1,con,2,,128,0.348
82B1,inh,2,,128,0.022000000000000002
82B1,con,3,,128,0.365
82B1,inh,3,,128,0.059000000000000004
82B1,con,1,,64,0.486
82B1,inh,1,,64,0.019
82B1,con,2,,64,0.455
82B1,inh,2,,64,0.013000000000000001
82B1,con,3,,64,0.445
82B1,inh,3,,64,0.017
82B1,con,1,,32,0.5760000000000001
82B1,inh,1,,32,0.012
82B1,con,2,,32,0.5670000000000001
82B1,inh,2,,32,0.009000000000000001
82B1,con,3,,32,0.544
82B1,inh,3,,32,0.011000000000000001
82B1,con,1,,16,0.7
82B1,inh,1,,16,0.001
82B1,con,2,,16,0.774
82B1,inh,2,,16,0.001
82B1,con,3,,16,0.728
82B1,inh,3,,16,0.002
82B1,con,1,,8,0.7609999999999999
82B1,inh,1,,8,0.0
82B1,con,2,,8,0.866
82B1,inh,2,,8,0.001
82B1,con,3,,8,0.853
82B1,inh,3,,8,0.002
82B1,con,1,,4,0.825
82B1,inh,1,,4,0.045
82B1,con,2,,4,0.872
82B1,inh,2,,4,0.22699999999999998
82B1,con,3,,4,0.8759999999999999
82B1,inh,3,,4,0.415
82B1,con,1,,2,0.9009999999999999
82B1,inh,1,,2,0.5489999999999999
82B1,con,2,,2,0.9009999999999999
82B1,inh,2,,2,0.586
82B1,con,3,,2,0.858
82B1,inh,3,,2,0.6509999999999999
82B1,con,1,,1,0.9329999999999999
82B1,inh,1,,1,0.647
82B1,con,2,,1,0.8640000000000001
82B1,inh,2,,1,0.628
82B1,con,3,,1,0.794
82B1,inh,3,,1,0.667
82B1,con,1,,0.5,0.87
82B1,inh,1,,0.5,0.627
82B1,con,2,,0.5,0.878
82B1,inh,2,,0.5,0.579
82B1,con,3,,0.5,0.769
82B1,inh,3,,0.5,0.7020000000000001
82B1,con,1,,0.25,0.857
82B1,inh,1,,0.25,0.629
82B1,con,2,,0.25,0.812
82B1,inh,2,,0.25,0.598
82B1,con,3,,0.25,0.738
82B1,inh,3,,0.25,0.649
82B1,con,1,,GC,0.884
82B1,inh,1,,GC,0.628
82B1,con,2,,GC,0.818
82B1,inh,2,,GC,0.6409999999999999
82B1,con,3,,GC,0.718
82B1,inh,3,,GC,0.7979999999999999
82B1,con,1,,SC,0.0
82B1,inh,1,,SC,0.0
82B1,con,2,,SC,0.0
82B1,inh,2,,SC,0.0
82B1,con,3,,SC,0.0
82B1,inh,3,,SC,0.0
89C1,con,1,,32,-0.001
89C1,inh,1,,32,0.002
89C1,con,2,,32,0.001
89C1,inh,2,,32,0.005
89C1,con,3,,32,0.004
89C1,inh,3,,32,0.004
89C1,con,1,,16,-0.001
89C1,inh,1,,16,0.001
89C1,con,2,,16,0.0
89C1,inh,2,,16,0.0
89C1,con,3,,16,0.001
89C1,inh,3,,16,0.001
89C1,con,1,,8,-0.002
89C1,inh,1,,8,0.0
89C1,con,2,,8,0.0
89C1,inh,2,,8,0.001
89C1,con,3,,8,0.001
89C1,inh,3,,8,0.001
89C1,con,1,,4,-0.002
89C1,inh,1,,4,0.0
89C1,con,2,,4,-0.001
89C1,inh,2,,4,0.001
89C1,con,3,,4,0.0
89C1,inh,3,,4,0.002
89C1,con,1,,2,-0.002
89C1,inh,1,,2,0.0
89C1,con,2,,2,0.0
89C1,inh,2,,2,0.001
89C1,con,3,,2,0.002
89C1,inh,3,,2,0.002
89C1,con,1,,1,-0.001
89C1,inh,1,,1,0.0
89C1,con,2,,1,0.0
89C1,inh,2,,1,0.002
89C1,con,3,,1,0.003
89C1,inh,3,,1,0.004
89C1,con,1,,0.5,0.002
89C1,inh,1,,0.5,-0.001
89C1,con,2,,0.5,0.001
89C1,inh,2,,0.5,0.001
89C1,con,3,,0.5,0.001
89C1,inh,3,,0.5,0.003
89C1,con,1,,0.25,0.005
89C1,inh,1,,0.25,-0.001
89C1,con,2,,0.25,0.002
89C1,inh,2,,0.25,0.001
89C1,con,3,,0.25,0.003
89C1,inh,3,,0.25,0.002
89C1,con,1,,0.125,0.016
89C1,inh,1,,0.125,0.002
89C1,con,2,,0.125,0.015
89C1,inh,2,,0.125,0.004
89C1,con,3,,0.125,0.021
89C1,inh,3,,0.125,0.0
89C1,con,1,,0.0625,0.09699999999999999
89C1,inh,1,,0.0625,0.001
89C1,con,2,,0.0625,0.057999999999999996
89C1,inh,2,,0.0625,0.0
89C1,con,3,,0.0625,0.08199999999999999
89C1,inh,3,,0.0625,0.002
89C1,con,1,,GC,0.521
89C1,inh,1,,GC,0.61
89C1,con,2,,GC,0.643
89C1,inh,2,,GC,0.501
89C1,con,3,,GC,0.8170000000000001
89C1,inh,3,,GC,0.696
89C1,con,1,,SC,0.0
89C1,inh,1,,SC,0.0
89C1,con,2,,SC,0.0
89C1,inh,2,,SC,0.0
89C1,con,3,,SC,0.0
89C1,inh,3,,SC,0.0
95A6,con,1,,32,0.001
95A6,inh,1,,32,0.0
95A6,con,2,,32,0.001
95A6,inh,2,,32,0.0
95A6,con,3,,32,0.001
95A6,inh,3,,32,0.0
95A6,con,1,,16,0.028999999999999998
95A6,inh,1,,16,0.0
95A6,con,2,,16,0.001
95A6,inh,2,,16,0.0
95A6,con,3,,16,0.001
95A6,inh,3,,16,0.0
95A6,con,1,,8,0.004
95A6,inh,1,,8,0.0
95A6,con,2,,8,0.0
95A6,inh,2,,8,0.0
95A6,con,3,,8,0.0
95A6,inh,3,,8,0.0
95A6,con,1,,4,0.001
95A6,inh,1,,4,0.0
95A6,con,2,,4,0.0
95A6,inh,2,,4,0.0
95A6,con,3,,4,0.001
95A6,inh,3,,4,0.0
95A6,con,1,,2,0.002
95A6,inh,1,,2,0.0
95A6,con,2,,2,0.001
95A6,inh,2,,2,0.0
95A6,con,3,,2,0.001
95A6,inh,3,,2,0.0
95A6,con,1,,1,0.001
95A6,inh,1,,1,0.0
95A6,con,2,,1,0.0
95A6,inh,2,,1,0.0
95A6,con,3,,1,0.001
95A6,inh,3,,1,0.0
95A6,con,1,,0.5,0.002
95A6,inh,1,,0.5,0.0
95A6,con,2,,0.5,0.002
95A6,inh,2,,0.5,0.0
95A6,con,3,,0.5,0.001
95A6,inh,3,,0.5,0.0
95A6,con,1,,0.25,0.006999999999999999
95A6,inh,1,,0.25,0.0
95A6,con,2,,0.25,0.005
95A6,inh,2,,0.25,0.0
95A6,con,3,,0.25,0.009000000000000001
95A6,inh,3,,0.25,0.0
95A6,con,1,,0.125,0.017
95A6,inh,1,,0.125,0.0
95A6,con,2,,0.125,0.016
95A6,inh,2,,0.125,0.0
95A6,con,3,,0.125,0.015
95A6,inh,3,,0.125,0.0
95A6,con,1,,0.0625,0.027000000000000003
95A6,inh,1,,0.0625,0.0
95A6,con,2,,0.0625,0.027999999999999997
95A6,inh,2,,0.0625,0.0
95A6,con,3,,0.0625,0.023
95A6,inh,3,,0.0625,0.0
95A6,con,1,,GC,0.518
95A6,inh,1,,GC,0.1
95A6,con,2,,GC,0.31
95A6,inh,2,,GC,0.1
95A6,con,3,,GC,0.302
95A6,inh,3,,GC,0.1
95A6,con,1,,SC,-0.001
95A6,inh,1,,SC,0.0
95A6,con,2,,SC,0.001
95A6,inh,2,,SC,0.0
95A6,con,3,,SC,0.001
95A6,inh,3,,SC,0.0
HS_1,con,1,,128,0.341
HS_1,inh,1,,128,0.11699999999999999
HS_2,con,1,,128,0.41600000000000004
HS_2,inh,1,,128,0.022000000000000002
HS_1,inh,2,,128,0.048
HS_1,con,2,,128,0.43700000000000006
HS_2,inh,2,,128,0.457
HS_2,con,2,,128,0.038
HS_1,con,3,,128,0.207
HS_1,inh,3,,128,0.094
HS_2,con,3,,128,0.253
HS_2,inh,3,,128,0.035
HS_3,con,1,,128,0.531
HS_3,inh,1,,128,0.105
HS_4,con,1,,128,0.5589999999999999
HS_4,inh,1,,128,0.293
HS_5,con,1,,128,1.037
HS_5,inh,1,,128,0.41
HS_3,con,2,,128,0.486
HS_3,inh,2,,128,0.075
HS_4,con,2,,128,0.502
HS_4,inh,2,,128,0.09699999999999999
HS_5,con,2,,128,0.855
HS_5,inh,2,,128,0.057
HS_3,con,3,,128,0.49
HS_3,inh,3,,128,0.10400000000000001
HS_4,con,3,,128,0.539
HS_4,inh,3,,128,0.132
HS_5,con,3,,128,0.973
HS_5,inh,3,,128,0.205
HS_1,con,1,,64,0.39899999999999997
HS_1,inh,1,,64,0.063
HS_2,con,1,,64,0.5710000000000001
HS_2,inh,1,,64,0.025
HS_1,inh,2,,64,0.066
HS_1,con,2,,64,0.446
HS_2,inh,2,,64,0.542
HS_2,con,2,,64,0.053
HS_1,con,3,,64,0.344
HS_1,inh,3,,64,0.071
HS_2,con,3,,64,0.493
HS_2,inh,3,,64,0.059000000000000004
HS_3,con,1,,64,0.433
HS_3,inh,1,,64,0.151
HS_4,con,1,,64,0.315
HS_4,inh,1,,64,0.215
HS_5,con,1,,64,1.0759999999999998
HS_5,inh,1,,64,0.16699999999999998
HS_3,con,2,,64,0.40700000000000003
HS_3,inh,2,,64,0.07
HS_4,con,2,,64,0.318
HS_4,inh,2,,64,0.079
HS_5,con,2,,64,0.9670000000000001
HS_5,inh,2,,64,0.08900000000000001
HS_3,con,3,,64,0.361
HS_3,inh,3,,64,0.095
HS_4,con,3,,64,0.26899999999999996
HS_4,inh,3,,64,0.113
HS_5,con,3,,64,1.044
HS_5,inh,3,,64,0.14
HS_1,con,1,,32,0.397
HS_1,inh,1,,32,0.005
HS_2,con,1,,32,0.53
HS_2,inh,1,,32,0.049
HS_1,inh,2,,32,0.008
HS_1,con,2,,32,0.384
HS_2,inh,2,,32,0.498
HS_2,con,2,,32,0.147
HS_1,con,3,,32,0.384
HS_1,inh,3,,32,0.01
HS_2,con,3,,32,0.531
HS_2,inh,3,,32,0.035
HS_3,con,1,,32,0.607
HS_3,inh,1,,32,0.045
HS_4,con,1,,32,0.226
HS_4,inh,1,,32,0.14
HS_5,con,1,,32,1.172
HS_5,inh,1,,32,0.069
HS_3,con,2,,32,0.537
HS_3,inh,2,,32,0.096
HS_4,con,2,,32,0.247
HS_4,inh,2,,32,0.08199999999999999
HS_5,con,2,,32,1.1159999999999999
HS_5,inh,2,,32,0.025
HS_3,con,3,,32,0.516
HS_3,inh,3,,32,0.031
HS_4,con,3,,32,0.239
HS_4,inh,3,,32,0.092
HS_5,con,3,,32,1.138
HS_5,inh,3,,32,0.045
HS_1,con,1,,16,0.537
HS_1,inh,1,,16,0.07200000000000001
HS_2,con,1,,16,0.5589999999999999
HS_2,inh,1,,16,0.5
HS_1,inh,2,,16,0.222
HS_1,con,2,,16,0.455
HS_2,inh,2,,16,0.594
HS_2,con,2,,16,0.529
HS_1,con,3,,16,0.449
HS_1,inh,3,,16,0.10300000000000001
HS_2,con,3,,16,0.561
HS_2,inh,3,,16,0.41100000000000003
HS_3,con,1,,16,0.6779999999999999
HS_3,inh,1,,16,0.081
HS_4,con,1,,16,0.377
HS_4,inh,1,,16,0.135
HS_5,con,1,,16,1.244
HS_5,inh,1,,16,0.882
HS_3,con,2,,16,0.5579999999999999
HS_3,inh,2,,16,0.038
HS_4,con,2,,16,0.29600000000000004
HS_4,inh,2,,16,0.096
HS_5,con,2,,16,1.234
HS_5,inh,2,,16,0.433
HS_3,con,3,,16,0.634
HS_3,inh,3,,16,0.055
HS_4,con,3,,16,0.292
HS_4,inh,3,,16,0.125
HS_5,con,3,,16,1.272
HS_5,inh,3,,16,0.634
HS_1,con,1,,8,0.792
HS_1,inh,1,,8,0.38299999999999995
HS_2,con,1,,8,0.725
HS_2,inh,1,,8,0.662
HS_1,inh,2,,8,0.588
HS_1,con,2,,8,0.7509999999999999
HS_2,inh,2,,8,0.748
HS_2,con,2,,8,0.688
HS_1,con,3,,8,0.6759999999999999
HS_1,inh,3,,8,0.44299999999999995
HS_2,con,3,,8,0.732
HS_2,inh,3,,8,0.617
HS_3,con,1,,8,0.851
HS_3,inh,1,,8,0.632
HS_4,con,1,,8,0.6809999999999999
HS_4,inh,1,,8,0.168
HS_5,con,1,,8,1.338
HS_5,inh,1,,8,1.167
HS_3,con,2,,8,0.748
HS_3,inh,2,,8,0.431
HS_4,con,2,,8,0.495
HS_4,inh,2,,8,0.136
HS_5,con,2,,8,1.3430000000000002
HS_5,inh,2,,8,1.08
HS_3,con,3,,8,0.7759999999999999
HS_3,inh,3,,8,0.436
HS_4,con,3,,8,0.45899999999999996
HS_4,inh,3,,8,0.132
HS_5,con,3,,8,1.358
HS_5,inh,3,,8,1.102
HS_1,con,1,,4,0.823
HS_1,inh,1,,4,0.669
HS_2,con,1,,4,0.794
HS_2,inh,1,,4,0.684
HS_1,inh,2,,4,0.7609999999999999
HS_1,con,2,,4,0.82
HS_2,inh,2,,4,0.8270000000000001
HS_2,con,2,,4,0.71
HS_1,con,3,,4,0.773
HS_1,inh,3,,4,0.642
HS_2,con,3,,4,0.7440000000000001
HS_2,inh,3,,4,0.667
HS_3,con,1,,4,0.983
HS_3,inh,1,,4,0.935
HS_4,con,1,,4,0.767
HS_4,inh,1,,4,0.255
HS_5,con,1,,4,1.3219999999999998
HS_5,inh,1,,4,1.22
HS_3,con,2,,4,0.937
HS_3,inh,2,,4,0.8490000000000001
HS_4,con,2,,4,0.614
HS_4,inh,2,,4,0.242
HS_5,con,2,,4,1.351
HS_5,inh,2,,4,1.2309999999999999
HS_3,con,3,,4,0.943
HS_3,inh,3,,4,0.8909999999999999
HS_4,con,3,,4,0.573
HS_4,inh,3,,4,0.32299999999999995
HS_5,con,3,,4,1.367
HS_5,inh,3,,4,1.225
HS_1,con,1,,2,0.619
HS_1,inh,1,,2,0.813
HS_2,con,1,,2,0.809
HS_2,inh,1,,2,0.79
HS_1,inh,2,,2,0.807
HS_1,con,2,,2,0.835
HS_2,inh,2,,2,0.8320000000000001
HS_2,con,2,,2,0.757
HS_1,con,3,,2,0.797
HS_1,inh,3,,2,0.763
HS_2,con,3,,2,0.833
HS_2,inh,3,,2,0.725
HS_3,con,1,,2,1.016
HS_3,inh,1,,2,0.9620000000000001
HS_4,con,1,,2,0.77
HS_4,inh,1,,2,0.287
HS_5,con,1,,2,1.385
HS_5,inh,1,,2,1.3119999999999998
HS_3,con,2,,2,0.9740000000000001
HS_3,inh,2,,2,0.887
HS_4,con,2,,2,0.598
HS_4,inh,2,,2,0.25
HS_5,con,2,,2,1.3730000000000002
HS_5,inh,2,,2,1.2930000000000001
HS_3,con,3,,2,0.9590000000000001
HS_3,inh,3,,2,0.89
HS_4,con,3,,2,0.5660000000000001
HS_4,inh,3,,2,0.233
HS_5,con,3,,2,1.376
HS_5,inh,3,,2,1.295
HS_1,con,1,,1,0.644
HS_1,inh,1,,1,0.8220000000000001
HS_2,con,1,,1,0.871
HS_2,inh,1,,1,0.81
HS_1,inh,2,,1,0.841
HS_1,con,2,,1,0.866
HS_2,inh,2,,1,0.816
HS_2,con,2,,1,0.7659999999999999
HS_1,con,3,,1,0.7070000000000001
HS_1,inh,3,,1,0.7909999999999999
HS_2,con,3,,1,0.856
HS_2,inh,3,,1,0.8140000000000001
HS_3,con,1,,1,1.055
HS_3,inh,1,,1,0.8859999999999999
HS_4,con,1,,1,0.7140000000000001
HS_4,inh,1,,1,0.391
HS_5,con,1,,1,1.406
HS_5,inh,1,,1,1.3019999999999998
HS_3,con,2,,1,1.015
HS_3,inh,2,,1,0.971
HS_4,con,2,,1,0.695
HS_4,inh,2,,1,0.295
HS_5,con,2,,1,1.3630000000000002
HS_5,inh,2,,1,1.294
HS_3,con,3,,1,1.006
HS_3,inh,3,,1,0.917
HS_4,con,3,,1,0.593
HS_4,inh,3,,1,0.309
HS_5,con,3,,1,1.371
HS_5,inh,3,,1,1.286
HS_1,con,1,,0.5,0.68
HS_1,inh,1,,0.5,0.84
HS_2,con,1,,0.5,0.7959999999999999
HS_2,inh,1,,0.5,0.7979999999999999
HS_1,inh,2,,0.5,0.8320000000000001
HS_1,con,2,,0.5,0.862
HS_2,inh,2,,0.5,0.8540000000000001
HS_2,con,2,,0.5,0.818
HS_1,con,3,,0.5,0.805
HS_1,inh,3,,0.5,0.79
HS_2,con,3,,0.5,0.838
HS_2,inh,3,,0.5,0.76
HS_3,con,1,,0.5,1.1
HS_3,inh,1,,0.5,0.948
HS_4,con,1,,0.5,0.721
HS_4,inh,1,,0.5,0.35600000000000004
HS_5,con,1,,0.5,1.376
HS_5,inh,1,,0.5,1.2670000000000001
HS_3,con,2,,0.5,1.042
HS_3,inh,2,,0.5,0.96
HS_4,con,2,,0.5,0.5920000000000001
HS_4,inh,2,,0.5,0.303
HS_5,con,2,,0.5,1.368
HS_5,inh,2,,0.5,1.297
HS_3,con,3,,0.5,1.043
HS_3,inh,3,,0.5,0.9109999999999999
HS_4,con,3,,0.5,0.599
HS_4,inh,3,,0.5,0.302
HS_5,con,3,,0.5,1.368
HS_5,inh,3,,0.5,1.285
HS_1,con,1,,0.25,0.731
HS_1,inh,1,,0.25,0.847
HS_2,con,1,,0.25,0.865
HS_2,inh,1,,0.25,0.7979999999999999
HS_1,inh,2,,0.25,0.8340000000000001
HS_1,con,2,,0.25,0.758
HS_2,inh,2,,0.25,0.856
HS_2,con,2,,0.25,0.8059999999999999
HS_1,con,3,,0.25,0.821
HS_1,inh,3,,0.25,0.7659999999999999
HS_2,con,3,,0.25,0.879
HS_2,inh,3,,0.25,0.838
HS_3,con,1,,0.25,1.075
HS_3,inh,1,,0.25,0.973
HS_4,con,1,,0.25,0.589
HS_4,inh,1,,0.25,0.401
HS_5,con,1,,0.25,1.3159999999999998
HS_5,inh,1,,0.25,1.2409999999999999
HS_3,con,2,,0.25,1.053
HS_3,inh,2,,0.25,0.9309999999999999
HS_4,con,2,,0.25,0.633
HS_4,inh,2,,0.25,0.384
HS_5,con,2,,0.25,1.341
HS_5,inh,2,,0.25,1.301
HS_3,con,3,,0.25,1.032
HS_3,inh,3,,0.25,0.9209999999999999
HS_4,con,3,,0.25,0.585
HS_4,inh,3,,0.25,0.324
HS_5,con,3,,0.25,1.379
HS_5,inh,3,,0.25,1.2890000000000001
HS_1,con,1,,GC,0.7090000000000001
HS_1,inh,1,,GC,0.867
HS_2,con,1,,GC,0.77
HS_2,inh,1,,GC,0.813
HS_1,inh,2,,GC,0.818
HS_1,con,2,,GC,0.737
HS_2,inh,2,,GC,0.8009999999999999
HS_2,con,2,,GC,0.773
HS_1,con,3,,GC,0.727
HS_1,inh,3,,GC,0.8
HS_2,con,3,,GC,0.86
HS_2,inh,3,,GC,0.747
HS_3,con,1,,GC,1.129
HS_3,inh,1,,GC,0.96
HS_4,con,1,,GC,0.579
HS_4,inh,1,,GC,0.34600000000000003
HS_5,con,1,,GC,1.3519999999999999
HS_5,inh,1,,GC,1.3019999999999998
HS_3,con,2,,GC,1.099
HS_3,inh,2,,GC,0.943
HS_4,con,2,,GC,0.657
HS_4,inh,2,,GC,0.381
HS_5,con,2,,GC,1.3459999999999999
